Source IDs,Source,Citation key,Year,Title,Authors,Journal/Venue,DOI/stable URL,Cit/yr,Study type,Setting / facility,AV/CAV technology,Primary theme,Theme flags,Relevance tier,Control dimension / method,Metrics / congestion mechanism,Lane-changing modeled?,Routing modeled?,Finding / note from upload,Limitations / caveats from upload,Citation detail flags,Deduplication status,Control dimension (standardized),Control method (standardized),Traffic setting (standardized),AV/CAV technology (standardized),Congestion mechanism (standardized),Evaluation metrics (standardized),DOI status,Row audit notes
Undermind #88,Undermind catalog,Zhongxia Yan 2022,2022,Unified Automatic Control of Vehicular Systems With Reinforcement Learning,"Zhongxia Yan, Abdul Rahman Kreidieh, Eugene Vinitsky, A. Bayen, and Cathy Wu",IEEE Transactions on Automation Science and Engineering,https://doi.org/10.1109/TASE.2022.3168621,15,Microscopic simulation; DRL benchmark,mixed-autonomy benchmark networks: ring roads; figure-eight; intersection; highway ramp; highway bottleneck,AV; mixed autonomy,RL/MARL,Direct bottleneck/congestion mitigation; Longitudinal control; Lateral/lane-changing control; RL/MARL; Negative or mixed effects,Tier 1,DRL/MARL; longitudinal acceleration and lateral lane-change control,average speed; throughput/outflow; cumulative distance; stop-and-go waves; ramp/bottleneck throughput; intersection alternation,Yes,No (fixed routes only),"Yan et al. (2022) studied a variable-agent, multi-task DRL framework for controlling AV acceleration and, where applicable, lane changes in six simulated mixed-autonomy traffic systems. The study reported 15-60% improvement over human-driving baselines and emergent wave-mitigation, traffic-signal-like, and ramp-metering behaviors, measured mainly by speed/cumulative distance and throughput/outflow.","Simulation-only evidence using small SUMO networks; assumes local observations and simulator safety checks, with no field validation. Authors note Sim2Real transfer would require reliable fallback safety and sufficient simulator fidelity.",Study details verified; DOI verified in the published study,Kept / merged unique record,Longitudinal; Lateral/lane-changing,RL/MARL,Ring road / single-link traffic smoothing; intersection; on-ramp merge; freeway bottleneck,AV,Stop-and-go waves / flow stability; Bottleneck activation/throughput; Merging turbulence; Intersection delay/alternation,speed/flow/throughput; wave damping; outflow,present,Study details verified from the published study
Undermind #89,Undermind catalog,Ruishuang Chen 2024,2024,Cooperative Ramp Merging Strategy at Multi-Lane Area for Automated Vehicles,Ruishuang Chen and Zaiyue Yang,IEEE Transactions on Vehicular Technology,https://doi.org/10.1109/TVT.2024.3401232,5.7,Simulation; cooperative game + optimal control,multi-lane on-ramp merge; three-lane main road plus one-lane ramp,CAV; AV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Lateral/lane-changing control; Cooperative merging/platooning; Optimal control,Tier 1,Cooperative game with transferable utility and side payment; optimal control; FRTA,traffic efficiency; total economic benefit; travel time; comfort/fuel/jerk; safe smooth merging; computation time,Yes,No/unclear,"Chen and Yang (2024) studied cooperative lane allocation, lane changing, and ramp-merging sequence control for CAVs in a multi-lane on-ramp bottleneck. The simulations showed safe and smooth cooperative merging and reported total benefit 79.6% higher than FIFO and 22.3% higher than a flow-balance algorithm, measured using economic benefit, travel-time/comfort terms, and computation time.","Simulation-only evidence with idealized CAV coordination/central controller assumptions and a simplified three-main-lane plus one-ramp setting. Future work is needed for multiple ramps, ramp-to-ramp interactions, special vehicles, and faster cooperative lane-changing algorithms.",Study details verified; DOI verified in the published study,Kept / merged unique record,Longitudinal; Lateral/merging; Cooperative,Cooperative game; Optimal control,on-ramp merge; merge/merging area; multilane freeway,CAV; AV,Bottleneck activation/throughput; Lane-changing friction / gaps; Merging turbulence,traffic efficiency/economic benefit; travel time; comfort/fuel/jerk; computation time,present,Study details verified from the published study
Undermind #90,Undermind catalog,Majeed Algomaiah 2022,2022,Enhancing Work Zone Capacity by a Cooperative Late Merge System Using Decentralized and Centralized Control Strategies,Majeed Algomaiah and Zhixia Li,"Journal of Transportation Engineering, Part A: Systems",https://doi.org/10.1061/JTEPBS.0000632,2.1,Microscopic simulation (VISSIM); optimization/control,two-lane freeway work zone with one-lane closure,CV; CAV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Lateral/lane-changing control; Cooperative merging/platooning; Longitudinal control,Tier 1,Cooperative late merge; decentralized CV lane-changing model; centralized CAV speed harmonization/optimal control,throughput/capacity; delay; queue length; speed/headway; lane-changing duration; work-zone capacity drop,Yes,No/unclear,"Algomaiah and Li (2022) studied cooperative late merge systems for CV/CAV work-zone lane closures using decentralized V2V/I2V cooperation and centralized CAV speed harmonization/gap optimization. The VISSIM simulations found the decentralized CLMS increased capacity by 17% and the centralized CLMS by 45% versus a traditional work zone, with reduced delay and queue length.","Simulation-only evidence for a particular two-lane highway lane-closure scenario; assumptions include DSRC communication, compliance rates, CAV headways, and 100% CAV for the centralized case. Authors identify future needs for multilane closures, alternative lane-changing models, late-merge-area sensitivity, and platoon-size analysis.",Study details verified; DOI verified in the published study,Kept / merged unique record,Longitudinal; Lateral/merging; Cooperative,Cooperative late merge; Optimization/optimal control; Speed harmonization,work zone; lane-drop bottleneck; merge/merging area,CV; CAV,Bottleneck activation/throughput; Capacity drop; Queue formation/discharge; Lane-changing friction / gaps,throughput/capacity; delay; queue length; speed/headway; lane-changing duration,present,Study details verified from the published study
Undermind #91,Undermind catalog,Taehooie Kim 2022,2022,Congestion-Aware Cooperative Adaptive Cruise Control for Mitigation of Self-Organized Traffic Jams,Taehooie Kim and Kshitij Jerath,IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2021.3059237,7.5,Analytical/stochastic mesoscopic modeling with Monte Carlo simulation,Closed ring-road mixed traffic; self-organized phantom jams / stop-and-go waves,CACC-enabled connected vehicles using downstream congestion information via V2X,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; ACC/CACC; Stop-and-go wave damping,Tier 1,Longitudinal congestion-aware CACC; gain-scheduled/sigmoid sensitivity based on downstream jam size,Self-organized traffic jams; phantom jams; critical/effective critical density; steady-state cluster size,No/unclear,No/unclear,"Kim and Jerath (2022) developed a congestion-aware CACC algorithm that adjusts vehicle sensitivity based on downstream jam size in mixed traffic. The study found that CACC can raise effective critical density and keep steady-state jam clusters small at medium-to-high densities, but evidence is analytical/simulation-based under simplified ring-road and communication assumptions.",Closed ring road; assumes perfect/no-delay V2X communication within range; simplified cluster dynamics; no ramps or lane-changing; no field validation.,Verified from the published study,Kept / merged unique record,Longitudinal,ACC/CACC; congestion-aware gain scheduling,Ring road / single-link traffic smoothing,CACC; connected vehicles,Stop-and-go waves / phantom jams; string instability / cluster growth,Effective critical density; normalized steady-state cluster size; CACC penetration rate; congestion underestimation sensitivity,present,Study details verified; strong fit for CACC-based phantom-jam mitigation and mixed-traffic stabilization.
Undermind #92,Undermind catalog,R. Nezafat 2018,2018,Modeling and Evaluating Traffic Flow at Sag Curves When Imposing Variable Speed Limits on Connected Vehicles,"Reza Vatani Nezafat, Ehsan Beheshtitabar, Mecit Cetin, Elizabeth Williams, and George F. List",Transportation Research Record,https://doi.org/10.1177/0361198118784169,2.2,Microscopic simulation and simulation-based optimization,Single-lane freeway sag curve bottleneck,Connected vehicles receiving VSL instructions through V2I/I2V communication; no AV/ACC functionality required,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; VSL/speed harmonization,Tier 1,Longitudinal speed control; ALINEA-inspired feedback VSL; HPSOGA calibration,Sag-curve bottleneck; capacity drop; traffic breakdown; shockwave formation; queue discharge loss,No,No/unclear,"Nezafat et al. (2018) studied VSL instructions sent to connected vehicles upstream of a sag-curve bottleneck. The optimized controller reduced delay by 49% at 100% CV penetration and achieved near-maximum average improvements around 15% penetration, but low penetration results were sensitive to CV arrival timing and could even be worse than no control.",Simulation-only; single-lane homogeneous traffic; no lane-changing; assumes full CV compliance; simplified sag geometry and demand profile; no field validation.,Verified from the published study,Kept / merged unique record,Longitudinal,VSL/speed control; feedback control; simulation-based optimization,Sag curve bottleneck,CV,Bottleneck activation/throughput; capacity drop; shockwave formation,Total delay; exit flow/throughput; bottleneck density; queue dissipation time; CV market penetration,present,"Study details verified; highly relevant CV-based bottleneck-control paper, but not AV/ACC control."
Undermind #93,Undermind catalog,G. Piacentini 2021,2021,Traffic Control Via Platoons of Intelligent Vehicles for Saving Fuel Consumption in Freeway Systems,"G. Piacentini, Paola Goatin, and Antonella Ferrara",IEEE Control Systems Letters,https://doi.org/10.1109/LCSYS.2020.3004754,5.9,Macroscopic PDE-ODE traffic-flow modeling and MPC simulation,Freeway segment without ramps; downstream fixed bottleneck,Connected/autonomous intelligent vehicle platoon modeled as controllable moving capacity restriction,Cooperative merging/platooning,Cooperative merging/platooning; Longitudinal control; fuel/emissions/energy; traffic smoothing,Tier 2,Cooperative platoon speed and length control using MPC of platoon front-end and back-end speeds,Bottleneck-induced congestion; moving bottleneck/platoon capacity restriction; speed fluctuations linked to fuel consumption,No/unclear,No/unclear,"Piacentini et al. (2021) modeled a CAV platoon as a controllable capacity restriction and used MPC to regulate platoon speed and length on a freeway with a downstream bottleneck. The simulation found a 2.6% total fuel-consumption reduction relative to no control and better performance than single moving-bottleneck control, while harmonizing traffic upstream of congestion.",Simulation-only; one freeway segment without ramps; one platoon; no explicit lower-level vehicle/platoon dynamics; simplified macroscopic model and fixed bottleneck; no field validation.,Verified from the published study,Kept / merged unique record,Cooperative; Longitudinal,MPC; platooning; moving bottleneck control,Freeway segment/corridor,CAV; AV platoon,Bottleneck activation/throughput; traffic smoothing; fuel-related congestion effects,Total fuel consumption; density evolution; platoon speed; platoon length,present,"Study details verified; useful for CAV platoons as mobile actuators, but main outcome is fuel rather than throughput."
Undermind #94,Undermind catalog,Longhao Yan 2025,2025,Bi-Level Control of Weaving Sections in Mixed Traffic Environments With Connected and Automated Vehicles,"Longhao Yan, Jinhao Liang, and Kaidi Yang",IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2025.3610019,1.4,DRL + MPC simulation case study,weaving section; mixed traffic; Basel-inspired highway bottleneck,CAV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Lateral/lane-changing control; RL/MARL; MPC/optimal/distributed control; Cooperative coordination,Tier 1,Bi-level global coordination: upper-level PPO/DRL roadside controller sets MPC weights; lower-level MPC controls CAV acceleration and steering,Capacity drop; weaving lane-changing friction; queue formation; space-mean speed; average delay; throughput; traffic capacity; TTC; jerk,Yes,No/unclear,"Yan et al. (2025) studied globally coordinated CAV lane-changing and trajectory control in mixed-traffic weaving sections using an upper-level DRL controller and lower-level MPC. The study reported higher speed, lower delay, increased throughput/capacity, and reduced capacity-drop effects, with Bi-Level-G improving speed by up to 50.6% and capacity by up to 12.6%, but the evidence is simulation-only.","Simulation-only case study inspired by one Basel weaving section; assumes connected HVs/CAVs and CAVs only perform mandatory lane changes; generalization to other weaving layouts, weather, and combined ramp-metering/VSL control is left for future work.",Study details verified,Kept / merged unique record,Lateral/merging; Longitudinal; Cooperative,RL/MARL; MPC,weaving/diverge,CAV,Bottleneck activation/throughput; Capacity drop; Lane-changing friction / gaps; Queueing/delay,throughput/capacity; delay/travel time/queue; speed/stability; safety/TTC; comfort/jerk,present,Published study; corrected year/citation key to 2025 based on publication metadata
Undermind #95,Undermind catalog,Talebpour 2016,2016,Influence of connected and autonomous vehicles on traffic flow stability and throughput,Alireza Talebpour and Hani S. Mahmassani,Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2016.07.007,130,Analytical string-stability analysis + microscopic simulation,single-lane platoon; hypothetical highway with on-ramp merge; mixed traffic,Connected vehicles; autonomous vehicles; V2V/V2I,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; Stop-and-go waves / flow stability; Throughput/capacity,Tier 1,"Acceleration/car-following modeling framework distinguishing regular, connected, and autonomous vehicles",String stability; shockwave formation/propagation; collision/oscillation thresholds; throughput; fundamental diagram scatter,Yes,No/unclear,"Talebpour and Mahmassani (2016) developed an acceleration-modeling framework for regular, connected, and autonomous vehicles and evaluated mixed traffic using analytical string-stability analysis and microscopic simulation. The study found that connected and especially autonomous vehicles can improve string stability, suppress shockwave propagation, and increase throughput under some penetration scenarios, measured using stability thresholds, fundamental diagrams, and maximum throughput.","Results are illustrative and simulation/model-based; they depend on assumed car-following models, reaction times, sensor/communication assumptions, and penetration scenarios, and the authors note that real-world observations are needed for accurate modeling.",Study details verified,Kept / merged unique record,Longitudinal,Analytical stability analysis; Microsimulation,single-lane/platoon; on-ramp merge,Connected vehicles; AV,Bottleneck activation/throughput; Stop-and-go waves / flow stability; String instability; Shockwave propagation,throughput/capacity; string stability/wave damping; speed/stability; fundamental diagram scatter,present,Published study; author names expanded
Undermind #96,Undermind catalog,Tajdari 2019,2019,Integrated ramp metering and lane-changing feedback control at motorway bottlenecks,"Farzam Tajdari, Claudio Roncoli, Nikolaos Bekiaris-Liberis, and Markos Papageorgiou",2019 18th European Control Conference (ECC),https://doi.org/10.23919/ECC.2019.8795763,3.0,Macroscopic traffic-flow simulation + feedback control,motorway bottleneck; on-ramp merge; multi-lane freeway,Connected and partly automated vehicles; V2I lane-changing commands,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Lateral/lane-changing control; Ramp metering; Feedback/control-theoretic,Tier 1,Integrated lane-changing and ramp-metering feedback control using LQI/LQR with anti-windup,Capacity drop; bottleneck throughput; density near critical values; total time spent; ramp queue,Yes,No/unclear,"Tajdari et al. (2019) studied integrated lane-changing and ramp-metering feedback control at motorway bottlenecks using connected and partly automated vehicles that can receive lane-changing commands. In a first-order multi-lane macroscopic simulation with capacity drop, the controller eliminated congestion and reduced total time spent by about 26% without activation logic and 23% with activation logic, but created a large ramp queue in the peak period.","Simulation-only on a hypothetical two-lane motorway; assumes a share of vehicles can implement control tasks, uses a simplified first-order macroscopic model, and does not upper-bound the ramp queue; further stability and robustness tests are left for future work.",Study details verified,Kept / merged unique record,Lateral/merging; Ramp control,Feedback/control-theoretic; Ramp metering; Lane-changing control; LQI/LQR,freeway bottleneck; on-ramp merge; multi-lane freeway,CAV; connected and partly automated vehicles,Bottleneck activation/throughput; Capacity drop; Lane-changing friction / gaps; Queueing/delay,total time spent; throughput/capacity; density; delay/travel time/queue,present,Published study; upgraded relevance to Tier 1 because the paper directly targets motorway bottleneck congestion and capacity drop
Undermind #97,Undermind catalog,Lin Xiao 2020,2020,Traffic Flow Impacts of Converting an HOV Lane Into a Dedicated CACC Lane on a Freeway Corridor,Lin Xiao; Meng Wang; Bart van Arem,IEEE Intelligent Transportation Systems Magazine,https://doi.org/10.1109/MITS.2019.2953477,6.2,Microscopic simulation,freeway corridor with HOV/CACC dedicated lane and multiple interacting bottlenecks,CACC; ACC,Longitudinal control; lane management,CACC car-following with dedicated-lane lane-changing model,Tier 1,Direct bottleneck/congestion mitigation; ACC/CACC; lane management,freeway corridor with bottlenecks and dedicated CACC lane,Yes,No,Xiao et al. studied conversion of an HOV lane to a dedicated CACC lane on a 20-km SR-99 freeway corridor with merging and weaving bottlenecks. The study found that low CACC MPRs below about 30% can worsen GP-lane congestion while 40 to 50% MPRs substantially reduce congestion travel time and delay by shifting flow to the CACC lane.,Simulation-only evidence; results depend on assumed CACC penetration; lane-use rules; calibrated SR-99 demand; modeled lane-changing and deactivation behavior,Study details verified; strong corridor-level evidence for positive and negative congestion effects of dedicated CACC lanes depending on market penetration,Kept / merged unique record,Longitudinal; Network/lane management,ACC/CACC; microscopic simulation,freeway corridor with multiple bottlenecks,CACC; ACC,Bottleneck activation/throughput; lane-changing friction; dedicated-lane underutilization,congestion patterns; CACC lane flow/speed; travel time; delay; reliability; CACC usage/deactivations,present,
Undermind #98,Undermind catalog,Ran Yi 2024,2024,Cooperative CAV mandatory lane-change control enabled by V2I,Ran Yi; Yifan Yao; Fan Pu; Yang Zhou; Xin Wang,Communications in Transportation Research,https://doi.org/10.1016/j.commtr.2024.100126,5.1,Numerical simulation; MPC trajectory-control study,two-lane curved highway lane drop and mandatory lane-changing segment,CAV; V2I; V2V,Lateral/lane-changing control; longitudinal car-following control,Spatial-domain mixed-integer MPC with virtual sequencing and cooperative V2I/V2V control,Tier 2,Lateral/lane-changing control; cooperative CAV control,mandatory lane change on curved highway with car-following,Yes,No,Yi et al. developed a spatial-domain cooperative mandatory lane-changing and car-following controller for CAVs using V2I/V2V and mixed-integer MPC. Numerical simulations in uncongested obstacle and congested scenarios showed smoother mandatory lane changes equilibrium recovery low inverse TTC values and reduced collision risk but congestion impacts were assessed mainly through local trajectory and safety behavior rather than network throughput.,Simulation-only evidence; simplified point-mass vehicle assumptions; excludes complex vehicle dynamics; measurement errors; communication delays from the main model,Study details verified; mechanistically relevant for lane-changing friction and active gap generation but not a direct freeway congestion-mitigation evaluation,Kept / merged unique record,Lateral/merging; Cooperative,MPC; spatial-domain optimization,two-lane curved highway lane drop and mandatory lane-changing segment,CAV; V2I; V2V,Lane-changing friction / gaps; active gap generation; collision avoidance,headway deviation; speed; lateral/angular deviation; inverse TTC; computational time,present,
Undermind #99,Undermind catalog,Zhe Fu 2023,2023,Cooperative Driving for Speed Harmonization in Mixed-Traffic Environments,Zhe Fu; Abdul Rahman Kreidieh; Han Wang; Jonathan W. Lee; Maria Laura Delle Monache; Alexandre M. Bayen,2023 IEEE Intelligent Vehicles Symposium (IV),https://doi.org/10.1109/IV55152.2023.10186598,4.7,Microsimulation with field-test deployment component,I-24 freeway corridor and single-lane mixed-autonomy traffic smoothing for congested events,AV,Longitudinal control,Two-layer speed-harmonization controller using downstream traffic state estimates plus gap regulation and safety filter,Tier 1,Direct congestion mitigation; speed harmonization; mixed-traffic smoothing,stop-and-go waves; string instability; energy-efficient traffic smoothing,Yes,Partial field deployment of upper-layer speed planner,Fu et al. studied a two-layer AV longitudinal speed-harmonization strategy using downstream traffic-state estimates and local gap regulation on I-24 mixed traffic. Simulations with 4% AV penetration showed smoother traffic and about 18% average energy-consumption savings with only 0.58% reduction in distance traveled while lane-change sensitivity tests still showed about 9.84% MPG improvement; the upper-layer speed planner was deployed on 100 AVs in the 2022 I-24 experiment.,Main quantitative results are simulation-based; field deployment discussion reports architecture and application rather than final measured field congestion impacts; assumes availability and usefulness of downstream traffic-state estimates,Study details verified; highly relevant to AV-based traffic smoothing and stop-and-go damping in mixed traffic,Kept / merged unique record,Longitudinal,Speed harmonization; feedback control; traffic-state-estimate-based control,I-24 freeway corridor; mixed-autonomy traffic,AV,Stop-and-go waves; string instability; traffic smoothing; throughput preservation,MPG/energy consumption; distance traveled as throughput proxy; space/time gaps; speed oscillation patterns,present,
Undermind #100,Undermind catalog,Avedisov 2022,2022,Impacts of Connected Automated Vehicles on Freeway Traffic Patterns at Different Penetration Levels,"Sergei S. Avedisov, Gaurav Bansal, and Gábor Orosz",IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2020.3043323,13,Field experiment + numerical simulation,single-lane freeway / connected vehicle network with periodic-boundary traffic patterns,CAV; connected human-driven vehicles; V2X/DSRC,Longitudinal control,Longitudinal control; connected cruise control; V2X long-range feedback; mixed-traffic stabilization,Tier 1,Longitudinal control with connected cruise control / long-range V2X feedback,Stop-and-go waves / flow stability; throughput/capacity; average flow; maximum and average flow improvement; penetration effects,No,No,"Avedisov et al. (2022) studied CAV longitudinal control using V2X long-range feedback in small-scale vehicle experiments and 100-vehicle freeway-pattern simulations. The study found that CAVs using information from multiple vehicles ahead improved stability and throughput more than nearest-neighbor feedback, with flow gains increasing as CV and CAV penetration increased.","Limited to single-lane traffic-pattern experiments and periodic-boundary simulations; lane changes, bottlenecks, and broader human-driver parameter variation were not modeled, so multi-lane freeway impacts need validation.",Study details verified; DOI present in the published study,Kept / merged unique record,Longitudinal,Connected cruise control; V2X long-range feedback,freeway segment/corridor; single-lane traffic-pattern simulation,CAV; connected vehicles,Stop-and-go waves / flow stability; throughput/capacity,average flow; flow improvement; velocity profiles; penetration rate,present,
Undermind #101,Undermind catalog,Papacharalampous et al. 2015,2015,Mitigating Congestion at Sags with Adaptive Cruise Control Systems,"Alexandros E. Papacharalampous, Meng Wang, Victor L. Knoop, Bernat Goñi Ros, Toshimichi Takahashi, Ichiro Sakata, Bart van Arem, and Serge P. Hoogendoorn",2015 IEEE 18th International Conference on Intelligent Transportation Systems,https://doi.org/10.1109/ITSC.2015.395,1.5,Microscopic traffic simulation,single-lane highway sag bottleneck,ACC; CACC; Traffic State-Adaptive ACC,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; Cooperative sensing/control,Tier 1,Longitudinal ACC/CACC/TSA-ACC headway and acceleration control,Sag bottleneck congestion; capacity drop / queue discharge; total travel time savings; speed contours; headways,No,No,"Papacharalampous et al. (2015) studied ACC, CACC, and Traffic State-Adaptive ACC for a single-lane highway sag with 10% controlled vehicles. The simulations reported total travel time savings of 10.0 veh·min for ACC, 10.4 veh·min for CACC, and 18 veh·min for TSA-ACC versus no control, with TSA-ACC benefits mainly from reducing desired headway in congestion and when leaving the jam.","Simulation-only evidence with a single-lane segment, passenger cars only, no lane changes, and simplified non-controlled driving behavior; authors note that multi-lane networks, heterogeneous vehicles, and sag geometry variation need further study.",Study details verified; DOI present in the published study; authors completed from the published study,Kept / merged unique record,Longitudinal,ACC/CACC; traffic-state-adaptive headway control; V2V multi-anticipation,sag curve; freeway bottleneck,ACC; CACC,Bottleneck activation/throughput; capacity drop; queue discharge; stop-and-go waves / flow stability,total travel time savings; speed contour plots; headways,present,
﻿Undermind #102,Undermind catalog,Donà 2022,2022,Multianticipation for string stable Adaptive Cruise Control and increased motorway capacity without vehicle-to-vehicle communication,"Riccardo Donà, Konstantinos Mattas, Yinglong He, Giovanni Albano, and Biagio Ciuffo",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2022.103687,7.5,Analytical study + microsimulation + Pareto optimization,motorway/freeway car-following platoon; highway trajectory-based microsimulation,ACC; multianticipative ACC; radar-based second-leader sensing,Longitudinal control,Direct bottleneck/congestion mitigation; Longitudinal control; string-stability and capacity trade-off,Tier 1,Longitudinal multianticipative ACC using second-leader position/speed without V2V,String instability; stop-and-go waves / flow stability; throughput/capacity; weak string stability; crashes; acceleration RMS; car-follow percentage; mean traffic flow,No,No,"Donà et al. (2022) studied multianticipative ACC that uses radar-based second-leader information without vehicle-to-vehicle communication. Analytical and microsimulation results showed improved damping/string stability and higher motorway flow/capacity, including increased mean traffic flow with higher M-ACC penetration, but benefits depend on controller tuning and sensing assumptions.","Simulation/model-based evidence with simplified platoons and assumed radar second-leader measurements; tuning of the second-leader weight was heuristic, and real-world detection reliability, adaptive headway design, and comparison with CACC were left for future work.",Study details verified; DOI present in the published study,Kept / merged unique record,Longitudinal,ACC; multianticipative control; Pareto optimization,freeway segment/corridor; motorway platoon,ACC; AV/ADAS,Stop-and-go waves / flow stability; string instability; throughput/capacity,transfer function magnitude; step response; weak string stability; crashes; acceleration RMS; car-follow percentage; mean flow,present,
Undermind #103,Undermind catalog,Ziyuan Gu 2022,2022,Network traffic instability with automated driving and cooperative merging,"Ziyuan Gu, Zelin Wang, Zhiyuan Liu, and Meead Saberi",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2022.103626,11,Theoretical network traffic-flow analysis; SUMO microsimulation,two-ring network; merge/diverge network; real motorway segment,AV; CAV; connected HV,Negative or mixed effects,Direct bottleneck/congestion mitigation; Cooperative merging/platooning; Network/routing; Negative or mixed effects,Tier 1,Cooperative merging; network traffic stability analysis; NFD/MFD analysis,NFD/MFD bifurcation; FD/NFD scatter; network flow; density; capacity drop; stop-and-go waves,Yes,Yes,"Gu et al. (2022) studied network traffic instability caused by turning and merging maneuvers using two-ring NFD/MFD theory and SUMO simulations of HVs, AVs, and CAVs. The study found that instability persists under automation and non-cooperative AVs can worsen stability under frequent merging, while CAV cooperative merging reduces scatter, maintains higher network flows, and delays bifurcation.","Simulation/theory-based evidence; stylized two-ring network and assumed car-following parameters; calibration/validation of some parameters was outside scope, although a real Sydney motorway segment was also tested.",Published study; DOI verified,Kept / merged unique record,Lateral/merging; Route/network/lane-use; Cooperative,Cooperative merging; CIDM/IDM/HDM microsimulation; NFD/MFD analysis; adaptive routing/signal comparison,merge/merging area; network; motorway segment,AV; CAV; connected HV,Turning/merging-induced network instability; NFD bifurcation; capacity drop; stop-and-go waves / flow stability; network congestion distribution,NFD/MFD bifurcation point; FD/NFD scatter; network flow/capacity; density; vehicle trajectories,present,Study details verified
Undermind #104,Undermind catalog,Yuxin Cai et al. 2024,2024,Interaction-Aware Hierarchical Representation of Multi-Vehicle Reinforcement Learning for Cooperative Control in Dense Mixed Traffic,"Yuxin Cai, Zhengxuan Liu, Xiangkun He, Zhiqiang Zuo, Wei-Yun Yau, and Chen Lv",2024 IEEE 27th International Conference on Intelligent Transportation Systems (ITSC),https://doi.org/10.1109/ITSC58415.2024.10920267,1.9,RL/MARL simulation/benchmark; zero-shot generalization evaluation,dense mixed-traffic bottleneck; four-lane-to-two-lane merge in SUMO,CAV; HDV; V2X/RSU-enabled cooperative control,Cooperative merging/platooning,Cooperative merging/platooning; RL/MARL; Lateral/lane-changing control; Longitudinal control,Tier 2,Longitudinal and lateral cooperative control; MARL,IAHR-MAPPO; graph attention; hierarchical representation learning; CTDE/MAPPO,Yes,No/unclear,"Cai et al. (2024) studied IAHR-MAPPO for cooperative CAV longitudinal and lateral control in dense mixed-traffic bottleneck scenarios. The model reduced completion time relative to IDM+LC2013 in several training/testing scenarios and improved safety-efficiency tradeoffs using collision rate and completion time, but zero-shot generalization remained difficult in HDV-dominated dense traffic.",Simulation-only SUMO benchmark; small stylized bottleneck scenarios; no field validation; model still showed collisions or failed completion in some zero-shot scenarios with low CAV penetration or many HDVs.,Published study; DOI verified,Kept / merged unique record,Longitudinal; Lateral/merging; Cooperative,RL/MARL; IAHR-MAPPO; graph attention; CTDE,Freeway bottleneck/merge; dense mixed traffic,CAV; HDV,Bottleneck merging conflicts; dense traffic delay; safety-efficiency tradeoff,collision rate; completion time; episode reward; zero-shot generalization performance,present,Study details verified
Undermind #105,Undermind catalog,Wenzhang Yang 2025,2025,Cooperative control strategy for heterogeneous traffic flow in multi-lane on-ramp areas with connected and automated technology,"Wenzhang Yang, Changyin Dong, Ziqian Zhang, Hui Zhang, and Hao Wang",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2025.105248,3.0,Simulation with calibrated parameters; cooperative control strategy evaluation,multi-lane on-ramp area; two-lane mainline plus ramp; heterogeneous traffic,CAV; AV; HDV; connected and automated technology,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Cooperative merging/platooning; Lateral/lane-changing control; Longitudinal control,Tier 1,Merging control and lane-changing control; centralized CAV cooperative control,Real-time cooperative gap-selection merging control; lane-changing control for speed/density uniformity; IDM/LCM/Gipps/ACC/CACC simulation,Yes,No/unclear,"Yang et al. (2025) studied a real-time cooperative CAV strategy combining merging control and mainline lane-changing control in heterogeneous multi-lane on-ramp traffic. Simulations with calibrated parameters showed large safety improvements, delay and cumulative-discomfort reductions up to about 40%, and mitigation of capacity drop, even at lower CAV penetration rates.",Simulation-only evidence; centralized roadside detection/control assumptions; results depend on modeled vehicle behavior and calibrated parameters; no field deployment validation.,Published study; DOI verified,Kept / merged unique record,Lateral/merging; Longitudinal; Cooperative,Cooperative gap selection; lane-changing uniformity control; centralized real-time control; microsimulation,on-ramp merge; multi-lane freeway merge area,CAV; AV; HDV,Capacity drop; merging conflicts; lane imbalance; bottleneck activation/throughput,TET; TETMP; CPMR; delay; cumulative discomfort index; capacity drop; speed/density uniformity,present,Study details verified
