reference_number,match_status,manuscript_reference,citation_key,matrix_title,doi_or_stable_url,application_codes,note
62,matched to uploaded coded matrix,"Roncoli, C., Papamichail, I., & Papageorgiou, M. (2015). Model predictive control for motorway traffic with mixed manual and VACS-equipped vehicles. Transportation Research Procedia. https://doi.org/10.1016/j.trpro.2015.09.095",C. Roncoli 2015,Model Predictive Control for Motorway Traffic with Mixed Manual and VACS-equipped Vehicles☆,https://doi.org/10.1016/j.trpro.2015.09.095,speed_harmonization_dynamic_headway_bottleneck_inflow,
63,matched to uploaded coded matrix,"Rossi, F., Zhang, R., Hindy, Y., & Pavone, M. (2018). Routing autonomous vehicles in congested transportation networks: structural properties and coordination algorithms. Autonomous Robots, 42(7), 1427-1442. https://doi.org/10.1007/s10514-018-9750-5",Rossi 2018,Routing autonomous vehicles in congested transportation networks: structural properties and coordination algorithms,https://doi.org/10.1007/s10514-018-9750-5,routing_dta_managed_lane_operation,
64,matched to uploaded coded matrix,"Shang, M., & Stern, R. E. (2021). Impacts of commercially available adaptive cruise control vehicles on highway stability and throughput. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2020.102897",Mingfeng Shang 2021,Impacts of commercially available adaptive cruise control vehicles on highway stability and throughput,https://doi.org/10.1016/j.trc.2020.102897,speed_harmonization_dynamic_headway_bottleneck_inflow; traffic_smoothing_mobile_actuator,
65,matched to uploaded coded matrix,"Shladover, S., Su, D., & Lu, X.-Y. (2012). Impacts of cooperative adaptive cruise control on freeway traffic flow. Transportation Research Record. https://doi.org/10.3141/2324-08",S. Shladover 2012,Impacts of Cooperative Adaptive Cruise Control on Freeway Traffic Flow,https://doi.org/10.3141/2324-08,speed_harmonization_dynamic_headway_bottleneck_inflow; traffic_smoothing_mobile_actuator,
66,matched to uploaded coded matrix,"Srivastava, A., & Geroliminis, N. (2013). Empirical observations of capacity drop in freeway merges with ramp control and integration in a first-order model. Transportation Research Part C: Emerging Technologies, 30, 161-177.",A. Srivastava 2013,Empirical observations of capacity drop in freeway merges with ramp control and integration in a first-order model,https://doi.org/10.1016/j.trc.2013.02.006,integrated_longitudinal_lateral_bottleneck_control; speed_harmonization_dynamic_headway_bottleneck_inflow,Excluded from application-map support if foundational/review-only.
67,matched to uploaded coded matrix,"Stern, R. E., Cui, S., Delle Monache, M. L., Bhadani, R., Bunting, M., Churchill, M., Hamilton, N., Haulcy, R., Pohlmann, H., Wu, F., Piccoli, B., Seibold, B., Sprinkle, J., & Work, D. B. (2018). Dissipation of stop-and-go waves via control of autonomous vehicles: Field experiments. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2018.02.005",Stern et al. 2018,Dissipation of stop-and-go waves via control of autonomous vehicles: Field experiments,https://doi.org/10.1016/j.trc.2018.02.005,,
68,matched to uploaded coded matrix,"Subraveti, H. H. S. N., Srivastava, A., Ahn, S., Knoop, V., & van Arem, B. (2021). On lane assignment of connected automated vehicles: Strategies to improve traffic flow at diverge and weave bottlenecks. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2021.103126",Hari Hara Sharan Nagalur Subraveti 2021,On lane assignment of connected automated vehicles: strategies to improve traffic flow at diverge and weave bottlenecks,https://doi.org/10.1016/j.trc.2021.103126,lane_assignment_lane_use_control,
69,matched to uploaded coded matrix,"Tajalli, M., Niroumand, R., & Hajbabaie, A. (2022). Distributed cooperative trajectory and lane changing optimization of connected automated vehicles: Freeway segments with lane drop. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2022.103761",Mehrdad Tajalli 2022,Distributed cooperative trajectory and lane changing optimization of connected automated vehicles: Freeway segments with lane drop,https://doi.org/10.1016/j.trc.2022.103761,integrated_longitudinal_lateral_bottleneck_control,
70,matched to uploaded coded matrix,"Talebpour, A., & Mahmassani, H. S. (2016). Influence of connected and autonomous vehicles on traffic flow stability and throughput. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2016.07.007",Talebpour 2016,Influence of connected and autonomous vehicles on traffic flow stability and throughput,https://doi.org/10.1016/j.trc.2016.07.007,traffic_smoothing_mobile_actuator,
71,bibliographically verified outside coded matrix — book/full text unavailable,"Treiber, M., & Kesting, A. (2012). Traffic flow dynamics: data, models and simulation. Springer Science & Business Media.",Treiber and Kesting 2012,,"https://books.google.com/books?hl=en&lr=&id=sWiUjVAGTVgC&oi=fnd&pg=PR5&dq=Treiber,+M.,+&+Kesting,+A.+(2012).+Traffic+flow+dynamics:+data,+models+and+simulation.+Springer+Science+&+Business+Media.&ots=CTfqOcfVmt&sig=ziV-hkZ_w8tnzT-PTnPs0-ZKlyM#v=onepage&q=Treiber, M., & Kesting, A. (2012). Traffic flow dynamics: data, models and simulation. Springer Science & Business Media.&f=false",,Foundational textbook/reference. An ebook/full text was not supplied and is not available according to the author note. Retained as a bibliographic/foundational source; no new application coding or Figure 2 marker support was inferred.
72,verified outside coded matrix — uploaded full-text PDF,"Treiber, M., Kesting, A., & Helbing, D. (2007). Influence of reaction times and anticipation on stability of vehicular traffic flow. Transportation Research Record, 1999(1), 23-29.",Treiber et al. 2007,,https://doi.org/10.3141/1999-03,,"Full text supplied and verified. Simulation study of human-driver reaction time, anticipation, local stability, and string stability. Mechanism-supporting evidence only; not an AV/CAV congestion-control application and therefore not used for operational application-map marker support."
73,matched to uploaded coded matrix,"van Arem, B., van Driel, C. J. G., & Visser, R. (2006). The impact of cooperative adaptive cruise control on traffic-flow characteristics. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2006.884615",Van Arem 2006,The Impact of Cooperative Adaptive Cruise Control on Traffic-Flow Characteristics,https://doi.org/10.1109/TITS.2006.884615,speed_harmonization_dynamic_headway_bottleneck_inflow; traffic_smoothing_mobile_actuator,
74,matched to uploaded coded matrix,"Vinitsky, E., Lichtlé, N., Parvate, K., & Bayen, A. M. (2023). Optimizing mixed autonomy traffic flow with decentralized autonomous vehicles and multi-agent reinforcement learning. ACM Transactions on Cyber-Physical Systems. https://doi.org/10.1145/3582576",Eugene Vinitsky 2023,Optimizing Mixed Autonomy Traffic Flow with Decentralized Autonomous Vehicles and Multi-Agent Reinforcement Learning,https://doi.org/10.1145/3582576,speed_harmonization_dynamic_headway_bottleneck_inflow,
75,matched to uploaded coded matrix,"Vinitsky, E., Parvate, K., Kreidieh, A., Wu, C., & Bayen, A. M. (2018). Lagrangian control through deep-RL: Applications to bottleneck decongestion. 2018 21st International Conference on Intelligent Transportation Systems (ITSC). https://doi.org/10.1109/ITSC.2018.8569615",Eugene Vinitsky 2018,Lagrangian Control through Deep-RL: Applications to Bottleneck Decongestion,https://doi.org/10.1109/ITSC.2018.8569615,speed_harmonization_dynamic_headway_bottleneck_inflow,
76,matched to uploaded coded matrix,"Vishnoi, S. C., Ji, J., Bahavarnia, M., Zhang, Y., Taha, A. F., Claudel, C. G., & Work, D. B. (2024). CAV traffic control to mitigate the impact of congestion from bottlenecks: A linear quadratic regulator approach and microsimulation study. Journal on Autonomous Transportation Systems. https://doi.org/10.1145/3636464",Vishnoi et al. 2024,CAV Traffic Control to Mitigate the Impact of Congestion from Bottlenecks: A Linear Quadratic Regulator Approach and Microsimulation Study,https://doi.org/10.1145/3636464,,
77,matched to uploaded coded matrix,"Wada, K., Martínez, I., & Jin, W. L. (2019). Continuum car-following model of capacity drop at sag and tunnel bottlenecks. Transportation Research Procedia, 38, 668-687.",Kentaro Wada 2019,Continuum car-following model of capacity drop at sag and tunnel bottlenecks,https://doi.org/10.1016/j.trpro.2019.05.035,speed_harmonization_dynamic_headway_bottleneck_inflow,Excluded from application-map support if foundational/review-only.
78,matched to uploaded coded matrix,"Wang, M., Daamen, W., Hoogendoorn, S. P., & van Arem, B. (2016). Connected variable speed limits control and car-following control with vehicle-infrastructure communication to resolve stop-and-go waves. Journal of Intelligent Transportation Systems, 20(6), 559–572. https://doi.org/10.1080/15472450.2016.1157022",Wang et al. 2016,Connected variable speed limits control and car-following control with vehicle-infrastructure communication to resolve stop-and-go waves,https://doi.org/10.1080/15472450.2016.1157022,speed_harmonization_dynamic_headway_bottleneck_inflow; traffic_smoothing_mobile_actuator,
79,matched to uploaded coded matrix,"Wang, S., Shang, M., Levin, M. W., & Stern, R. E. (2023). A general approach to smoothing nonlinear mixed traffic via control of autonomous vehicles. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2022.103967",Shian Wang 2023,A general approach to smoothing nonlinear mixed traffic via control of autonomous vehicles,https://doi.org/10.1016/j.trc.2022.103967,speed_harmonization_dynamic_headway_bottleneck_inflow; traffic_smoothing_mobile_actuator,
80,matched to uploaded coded matrix,"Wang, S., Stern, R. E., & Levin, M. (2022). Optimal control of autonomous vehicles for traffic smoothing. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2021.3094552",Shian Wang 2022,Optimal Control of Autonomous Vehicles for Traffic Smoothing,https://doi.org/10.1109/TITS.2021.3094552,traffic_smoothing_mobile_actuator,
81,matched to uploaded coded matrix,"Wu, C., Kreidieh, A. R., Parvate, K., Vinitsky, E., & Bayen, A. M. (2021). Flow: A modular learning framework for mixed autonomy traffic. IEEE Transactions on Robotics. https://doi.org/10.1109/TRO.2021.3087314",Wu 2021,Flow: A Modular Learning Framework for Mixed Autonomy Traffic,https://doi.org/10.1109/TRO.2021.3087314,,
82,matched to uploaded coded matrix,"Xiao, L., Wang, M., Schakel, W., & van Arem, B. (2018). Unravelling effects of cooperative adaptive cruise control deactivation on traffic flow characteristics at merging bottlenecks. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2018.10.008",Lin Xiao 2018,Unravelling effects of cooperative adaptive cruise control deactivation on traffic flow characteristics at merging bottlenecks,https://doi.org/10.1016/j.trc.2018.10.008,speed_harmonization_dynamic_headway_bottleneck_inflow,
83,matched to uploaded coded matrix,"Xiao, L., Wang, M., & van Arem, B. (2020). Traffic flow impacts of converting an HOV lane into a dedicated CACC lane on a freeway corridor. IEEE Intelligent Transportation Systems Magazine. https://doi.org/10.1109/MITS.2019.2953477",Lin Xiao 2020,Traffic Flow Impacts of Converting an HOV Lane Into a Dedicated CACC Lane on a Freeway Corridor,https://doi.org/10.1109/MITS.2019.2953477,speed_harmonization_dynamic_headway_bottleneck_inflow,
84,matched to uploaded coded matrix,"Yan, L., Liang, J., & Yang, K. (2025). Bi-level control of weaving sections in mixed traffic environments with connected and automated vehicles. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2025.3610019",Longhao Yan 2025,Bi-Level Control of Weaving Sections in Mixed Traffic Environments With Connected and Automated Vehicles,https://doi.org/10.1109/TITS.2025.3610019,integrated_longitudinal_lateral_bottleneck_control,
85,matched to uploaded coded matrix,"Yang, K., Zheng, N., & Menendez, M. (2018). Multi-scale perimeter control approach in a connected-vehicle environment. Transportation Research Part C: Emerging Technologies, 94, 32–49. https://doi.org/10.1016/j.trc.2017.08.014",Yang 2018,Multi-scale perimeter control approach in a connected-vehicle environment,https://doi.org/10.1016/j.trc.2017.08.014,perimeter_corridor_control_fleet_rebalancing; routing_dta_managed_lane_operation,
86,matched to uploaded coded matrix,"Yang, Y., Liu, Y., & Roncoli, C. (2025). Macro-micro integration of game-theoretic trajectory planning and tactical lane control for mixed traffic control at motorway bottlenecks. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2025.105356",Yuanxiang Yang 2025,Macro-micro integration of game-theoretic trajectory planning and tactical lane control for mixed traffic control at motorway bottlenecks,https://doi.org/10.1016/j.trc.2025.105356,integrated_longitudinal_lateral_bottleneck_control; lane_assignment_lane_use_control,
87,matched to uploaded coded matrix,"Yuan, K., Knoop, V. L., Leclercq, L., & Hoogendoorn, S. P. (2017). Capacity drop: a comparison between stop-and-go wave and standing queue at lane-drop bottleneck. Transportmetrica B: transport dynamics, 5(2), 145-158.",K. Yuan 2017,Capacity drop: a comparison between stop-and-go wave and standing queue at lane-drop bottleneck,https://doi.org/10.1080/21680566.2016.1245163,,Excluded from application-map support if foundational/review-only.
88,matched to uploaded coded matrix,"Zhao, Y., & Kockelman, K. M. (2018). Anticipating the regional impacts of connected and automated vehicle travel in Austin, Texas. Journal of Urban Planning and Development. https://doi.org/10.1061/(ASCE)UP.1943-5444.0000463",Kockelman 2017,Anticipating the Regional Impacts of Connected and Automated Vehicle Travel in Austin Texas,https://doi.org/10.1061/(ASCE)UP.1943-5444.0000463,perimeter_corridor_control_fleet_rebalancing; routing_dta_managed_lane_operation,
89,matched to uploaded coded matrix,"Zhou, W., Chen, D., Yan, J., Li, Z., Yin, H., & Ge, W. (2022). Multi-agent reinforcement learning for cooperative lane changing of connected and autonomous vehicles in mixed traffic. Autonomous Intelligent Systems. https://doi.org/10.1007/s43684-022-00023-5",Zhou 2022,Multi-agent reinforcement learning for cooperative lane changing of connected and autonomous vehicles in mixed traffic,https://doi.org/10.1007/s43684-022-00023-5,integrated_longitudinal_lateral_bottleneck_control,
90,matched to uploaded coded matrix,"Zhu, J., Easa, S., & Gao, K. (2022). Merging control strategies of connected and autonomous vehicles at freeway on-ramps: A comprehensive review. Journal of Intelligent and Connected Vehicles. https://doi.org/10.1108/JICV-02-2022-0005",Jie Zhu 2022,Merging Control Strategies of Connected and Autonomous Vehicles at Freeway On-Ramps: A Comprehensive Review,https://doi.org/10.1108/JICV-02-2022-0005,cooperative_merging_gap_creation_ramp_coordination,Excluded from application-map support if foundational/review-only.
91,matched to uploaded coded matrix,"Zhu, J., Wang, L., Tasic, I., & Qu, X. (2024). Improving freeway merging efficiency via flow-level coordination of connected and autonomous vehicles. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2023.3346832",Zhu et al. 2024,Improving Freeway Merging Efficiency via Flow-Level Coordination of Connected and Autonomous Vehicles,https://doi.org/10.1109/TITS.2023.3346832,cooperative_merging_gap_creation_ramp_coordination; platooning,
