corpus_id,manuscript_reference_number,citation_key,year,title,authors,journal_venue,doi_or_stable_url,manuscript_reference,review_role,coding_source,coding_completeness,study_type,av_cav_technology,primary_theme,relevance_tier,av_cav_decision_lever,design_method,coordination_implementation_mode,operational_application,facility_system_scale,mixed_traffic_condition,evidence_setting,congestion_mechanism,congestion_metric,key_finding,main_limitation,lane_changing_modeled,routing_modeled,source_ids,source,verification_status,audit_note,legacy_control_dimension,legacy_control_method,legacy_traffic_setting,legacy_congestion_mechanism,legacy_evaluation_metrics
M049,52,Newell 1993,1993,"A simplified theory of kinematic waves in highway traffic, part I: General theory",Gordon F. Newell,"Transportation Research Part B: Methodological, 27(4), 281–287",https://doi.org/10.1016/0191-2615(93)90038-C,"Newell, G. F. (1993). A simplified theory of kinematic waves in highway traffic, part I: General theory. Transportation Research Part B: Methodological, 27(4), 281-287.",Included as mechanism-supporting evidence,Manual full-text coding from uploaded PDF,Mechanism-supporting coding from full text,Foundational analytical kinematic-wave theory,Not applicable,Foundational traffic-flow theory,Mechanism-supporting,Not applicable,Not applicable,Not applicable,Not applicable,Highway link / bottleneck,Not applicable,Analytical/theoretical,Shockwave propagation; Queue formation/discharge,Cumulative flow; flow; density; shock trajectory; queueing,Provides a cumulative-flow formulation of kinematic-wave traffic theory that simplifies evaluation of shocks and queueing from boundary or initial conditions.,Foundational traffic-flow theory; does not evaluate AV/CAV controller effectiveness.,No,No,,Manuscript reference + uploaded PDF/audit verification,verified outside coded matrix — uploaded full-text PDF,Full text supplied and verified. Foundational kinematic-wave/cumulative-flow theory. Mechanism-supporting/foundational only; not used as operational application-map support.,,,,,
M050,53,Sinan Öncü 2014,2014,Cooperative Adaptive Cruise Control: Network-Aware Analysis of String Stability,"Sinan Öncü, J. Ploeg, N. van de Wouw, and H. Nijmeijer",IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2014.2302816,"Öncü, S., Ploeg, J., van de Wouw, N., & Nijmeijer, H. (2014). Cooperative adaptive cruise control: Network-aware analysis of string stability. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2014.2302816",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling with experimental validation,CACC,Longitudinal control,Tier 2,Desired time headway/spacing gap,Rule-based/control law,Cooperative V2V,Traffic smoothing / mobile-actuator control,string/platoon; test track,CACC,Analytical/theoretical; Test-track experiment,Stop-and-go waves / flow stability; String instability,string stability transfer function; frequency response; allowable delay; headway time,Öncü et al. 2014 developed a networked-control framework for CACC string stability with sampling hold and wireless delay. The study showed that smaller headways require tighter delay bounds and validated the model with CACC prototype vehicle experiments using frequency response estimates,Experiments used two prototype vehicles on a test track. The study focused on longitudinal string stability rather than network traffic demand or bottleneck throughput,No,No,Undermind #191,Undermind catalog,matched to uploaded coded matrix,,Longitudinal; Cooperative,Networked control; ACC/CACC,string/platoon; test track,Stop-and-go waves / flow stability; String instability,string stability transfer function; frequency response; allowable delay; headway time
M051,54,Pan et al. 2021,2021,Integrated optimal control strategies for freeway traffic mixed with connected automated vehicles: A model-based reinforcement learning approach,"Tianlu Pan, Renzhong Guo, William H.K. Lam, Renxin Zhong, Weixi Wang, and Biao He",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2021.102987,"Pan, T., Guo, R., Lam, W. H. K., Zhong, R., Wang, W., & He, B. (2021). Integrated optimal control strategies for freeway traffic mixed with connected automated vehicles: A model-based reinforcement learning approach. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2021.102987",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling + simulation,CAV; AV; RHV,Direct bottleneck/congestion mitigation,Tier 1,Desired speed; Entry/access/release decision,Optimal control; Rule-based/control law,Individual/onboard or not clearly specified,Integrated longitudinal–lateral bottleneck control; Speed harmonization / dynamic headway / bottleneck-inflow regulation,freeway segment/corridor; on-ramp merge; freeway bottleneck,CAV; AV; RHV; Penetration/controllable-share assumption; Compliance assumption,Analytical/theoretical; Simulation,bottleneck queuing; shockwaves; lane-changing friction; traffic flow instability,total travel cost; total time spent; queue; lane-changing maneuvers; fuel consumption; emissions; electricity cost; safety gap,Pan et al. 2021 proposed an integrated freeway control framework for mixed CAV and RHV traffic using ramp metering lane-changing control or recommendation and variable speed limit control or recommendation. The study found that integrated control reduced total travel cost by reducing lane-changing maneuvers and bottleneck queues while smoothing traffic and suppressing shockwaves and also reported that ramp metering became less important at high CAV penetration.,Simulation-only numerical study on a virtual 2.75-mile two-lane freeway with assumed CAV compliance complete traffic-state knowledge and no real-world closed-loop data for updating the model.,Yes,No/unclear,Undermind #29,Undermind catalog,matched to uploaded coded matrix,,Longitudinal; Lateral,Model-based RL; Cross-entropy method; Optimization/optimal control; VSL/speed control; Ramp metering; Lane-changing control,freeway segment/corridor; on-ramp merge; freeway bottleneck,bottleneck queuing; shockwaves; lane-changing friction; traffic flow instability,total travel cost; total time spent; queue; lane-changing maneuvers; fuel consumption; emissions; electricity cost; safety gap
M052,55,Yuchen Pan 2024,2024,The impacts of connected autonomous vehicles on mixed traffic flow: A comprehensive review,Yuchen Pan; Yu Wu; Lu Xu; Chengyi Xia; David L. Olson,Physica A: Statistical Mechanics and its Applications,https://doi.org/10.1016/j.physa.2023.129454,"Pan, Y., Wu, Y., Xu, L., Xia, C., & Olson, D. L. (2024). The impacts of connected autonomous vehicles on mixed traffic flow: A comprehensive review. Physica A: Statistical Mechanics and Its Applications. https://doi.org/10.1016/j.physa.2023.129454",Included only as system context,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Review/survey,CAV; AV,Direct bottleneck/congestion mitigation,Tier 1,Lane choice; Lane-change timing/execution,RL/MARL; Rule-based/control law,Cooperative V2V,Routing / dynamic traffic assignment / managed-lane operation; Speed harmonization / dynamic headway / bottleneck-inflow regulation; Traffic smoothing / mobile-actuator control,Mixed-traffic networks; Urban road network,CAV; AV; Penetration/controllable-share assumption; HDV/mixed-traffic behavior; Controller/driver heterogeneity,Simulation,Stop-and-go waves / flow stability; Bottleneck activation/throughput; Capacity drop; Network congestion distribution,throughput/capacity; speed/stability; delay/travel time/queue; emissions/fuel; safety/conflicts,Pan et al. 2024 reviewed CAV impacts on mixed traffic flow with emphasis on traffic efficiency and congestion. The review reports that CAV connectivity and coordinated control can reduce phantom congestion and traffic fluctuations while improving capacity speed flow stability and emissions but evidence is synthesized from prior modeling and simulation studies rather than new experiments.,Review-only evidence; heterogeneous source studies; long-term net impacts on fuel consumption and emissions remain uncertain; policy and deployment effects depend on penetration rate and implementation context.,Sometimes,Sometimes,Perplexity table P23; Perplexity bibliography,Perplexity selected table; Perplexity bibliography,matched to uploaded coded matrix,Excluded from application-map support if foundational/review-only.,Longitudinal; Lateral; Cooperative; Route/network,Review/survey; ACC/CACC; RL/MARL; Traffic-flow modeling,Mixed-traffic networks; Urban road network,Stop-and-go waves / flow stability; Bottleneck activation/throughput; Capacity drop; Network congestion distribution,throughput/capacity; speed/stability; delay/travel time/queue; emissions/fuel; safety/conflicts
M053,56,Papacharalampous et al. 2015,2015,Mitigating Congestion at Sags with Adaptive Cruise Control Systems,"Alexandros E. Papacharalampous, Meng Wang, Victor L. Knoop, Bernat Goñi Ros, Toshimichi Takahashi, Ichiro Sakata, Bart van Arem, and Serge P. Hoogendoorn",2015 IEEE 18th International Conference on Intelligent Transportation Systems,https://doi.org/10.1109/ITSC.2015.395,"Papacharalampous, A. E., Wang, M., Knoop, V. L., Goñi-Ros, B., Takahashi, T., Sakata, I., van Arem, B., & Hoogendoorn, S. P. (2015). Mitigating congestion at sags with adaptive cruise control systems. 2015 IEEE 18th International Conference on Intelligent Transportation Systems. https://doi.org/10.1109/ITSC.2015.395",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Microscopic traffic simulation,ACC; CACC,Direct bottleneck/congestion mitigation,Tier 1,Acceleration/deceleration; Desired time headway/spacing gap,Rule-based/control law,Cooperative V2V,Speed harmonization / dynamic headway / bottleneck-inflow regulation; Traffic smoothing / mobile-actuator control,sag curve; freeway bottleneck,ACC; CACC; Controller/driver heterogeneity,Simulation,Bottleneck activation/throughput; capacity drop; queue discharge; stop-and-go waves / flow stability,total travel time savings; speed contour plots; headways,"Papacharalampous et al. (2015) studied ACC, CACC, and Traffic State-Adaptive ACC for a single-lane highway sag with 10% controlled vehicles. The simulations reported total travel time savings of 10.0 veh·min for ACC, 10.4 veh·min for CACC, and 18 veh·min for TSA-ACC versus no control, with TSA-ACC benefits mainly from reducing desired headway in congestion and when leaving the jam.","Simulation-only evidence with a single-lane segment, passenger cars only, no lane changes, and simplified non-controlled driving behavior; authors note that multi-lane networks, heterogeneous vehicles, and sag geometry variation need further study.",No,No,Undermind #101,Undermind catalog,matched to uploaded coded matrix,,Longitudinal,ACC/CACC; traffic-state-adaptive headway control; V2V multi-anticipation,sag curve; freeway bottleneck,Bottleneck activation/throughput; capacity drop; queue discharge; stop-and-go waves / flow stability,total travel time savings; speed contour plots; headways
M054,57,Georgia Perraki 2018,2018,Evaluation of a model predictive control framework for motorway traffic involving conventional and automated vehicles,"Georgia Perraki, Claudio Roncoli, Ioannis Papamichail, and Markos Papageorgiou",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2018.05.002,"Perraki, G., Roncoli, C., Papamichail, I., & Papageorgiou, M. (2018). Evaluation of a model predictive control framework for motorway traffic involving conventional and automated vehicles. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2018.05.002",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling + microscopic simulation,VACS; AV; connected vehicles,Direct bottleneck/congestion mitigation,Tier 1,Desired speed; Entry/access/release decision,MPC; Rule-based/control law,Individual/onboard or not clearly specified,Speed harmonization / dynamic headway / bottleneck-inflow regulation,freeway network; lane-drop bottleneck; on-ramp bottleneck; motorway corridor,VACS; AV; connected vehicles; Penetration/controllable-share assumption; Compliance assumption,Analytical/theoretical; Simulation,Capacity drop; Bottleneck activation/throughput; Network congestion distribution; Lane-changing friction / gaps,TTS; throughput; speed; TTS improvement; travel time reliability,Perraki et al. 2018 evaluated an MPC motorway-control framework using VACS-equipped vehicles as actuators together with ramp metering and lane-changing control on a calibrated Aimsun model of the A20 motorway. The study found average TTS reductions of 18.5% at 100% VACS penetration and 13.9% at 20% penetration with integrated control but results are simulation-based and conventional ramp metering remains important at low penetration.,Simulation-only evidence; relies on calibrated microscopic model; assumes compliance of equipped vehicles with control commands; lower penetration reduces benefit when ramp metering is removed,Yes,No/unclear,Undermind #33,Undermind catalog,matched to uploaded coded matrix,,Longitudinal; Lateral; Ramp control,MPC; VSL/MTFC; Ramp metering; Lane-changing control,freeway network; lane-drop bottleneck; on-ramp bottleneck; motorway corridor,Capacity drop; Bottleneck activation/throughput; Network congestion distribution; Lane-changing friction / gaps,TTS; throughput; speed; TTS improvement; travel time reliability
M055,58,Perrine 2020,2020,Anticipating long-distance travel shifts due to self-driving vehicles,Kenneth A. Perrine; Kara M. Kockelman; Yantao Huang,Journal of Transport Geography,https://doi.org/10.1016/j.jtrangeo.2019.102547,"Perrine, K. A., Kockelman, K. M., & Huang, Y. (2020). Anticipating long-distance travel shifts due to self-driving vehicles. Journal of Transport Geography. https://doi.org/10.1016/j.jtrangeo.2019.102547",Included only as system context,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Modeling,AV,Negative or mixed effects,Tier 2,Not applicable,Not applicable,Not applicable / not clearly specified,Routing / dynamic traffic assignment / managed-lane operation,Regional/national network,AV,Network/demand model,Induced demand / mode shift,PMT; mode share; trip distance; airline revenue,Perrine et al. 2020 added an AV mode to the rJourney long-distance travel-demand model for the United States. The study found that AVs could shift travel from air to personal vehicles and reduce total long-distance passenger-miles by 6.7% under the base scenario while increasing car plus AV trips at longer distances.,Model subset only; AV parameters estimated; IIA issue from adding AV as separate mode; field validation unavailable,No,Yes,Perplexity table P21,Perplexity selected table,matched to uploaded coded matrix,,Route/network,Travel-demand modeling,Regional/national network,Induced demand / mode shift,PMT; mode share; trip distance; airline revenue
M056,59,T. T. Phan 2020,2020,A Cooperative Space Distribution Method for Autonomous Vehicles at A Lane-Drop Bottleneck on Multi-Lane Freeways,"T. T. Phan, L. Le, and D. Ngoduy",IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2020.3040431,"Phan, T. T., Le, L., & Ngoduy, D. (2020). A cooperative space distribution method for autonomous vehicles at a lane-drop bottleneck on multi-lane freeways. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2020.3040431",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling + simulation,AV,Direct bottleneck/congestion mitigation,Tier 1,Acceleration/deceleration; Lane-change timing/execution,Other / not clearly specified,Cooperative V2V,Integrated longitudinal–lateral bottleneck control; Platooning,lane-drop bottleneck; multi-lane freeway,AV; HDV/mixed-traffic behavior,Analytical/theoretical; Simulation,Bottleneck activation/throughput; capacity drop; queue formation; lane-changing friction / gaps,average travel time; number of stopping vehicles; average lane-changing velocity; efficiency; bottleneck throughput,Phan et al. 2020 developed a cooperative space distribution method that divides the upstream lane-drop region into platoon acceleration and merging segments and controls AV velocity and position to create safe gaps. Simulations on a four-lane lane-drop bottleneck showed lower average travel time and fewer stopping vehicles than non-cooperative and cooperative velocity methods with CSDM efficiencies above 90% in tested scenarios but the evidence is simulation based and assumes AV-only cooperative control.,Simulation-only evaluation; assumes AVs can be centrally coordinated and communicate reliably; no mixed HDV-CAV behavior is modeled in the main experiments; field validation is not provided.,Yes,No,Undermind #17; Undermind #164,Undermind catalog,matched to uploaded coded matrix,,Longitudinal and lateral,Cooperative trajectory planning / space distribution / platoon-based lane-change control,lane-drop bottleneck; multi-lane freeway,Bottleneck activation/throughput; capacity drop; queue formation; lane-changing friction / gaps,average travel time; number of stopping vehicles; average lane-changing velocity; efficiency; bottleneck throughput
M057,60,Qin and Wang 2021,2021,Stabilizing mixed cooperative adaptive cruise control traffic flow to balance capacity using car-following model,Yanyan Qin and Hao Wang,Journal of Intelligent Transportation Systems,https://doi.org/10.1080/15472450.2021.1985490,"Qin, Y., & Wang, H. (2021). Stabilizing mixed cooperative adaptive cruise control traffic flow to balance capacity using car-following model. Journal of Intelligent Transportation Systems. https://doi.org/10.1080/15472450.2021.1985490",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling,CACC; ACC,Longitudinal control,Tier 2,Acceleration/deceleration; Desired time headway/spacing gap,Rule-based/control law,Cooperative V2V,Traffic smoothing / mobile-actuator control,single-lane mixed traffic,CACC; ACC,Analytical/theoretical; Simulation,Stop-and-go waves / flow stability; capacity balance,string stability; traffic capacity; critical CACC penetration; equilibrium speed,Qin and Wang 2023 developed an analytical car-following framework for mixed CACC ACC and human traffic. The study showed that dynamic CACC and ACC time-gap management can balance string stability and traffic capacity using stability criteria and numerical simulations.,Analytical and simulation-only evidence with simplified single-lane random vehicle order and no lower-level vehicle dynamics or lane-changing model,No,No,Undermind #195,Undermind catalog,matched to uploaded coded matrix,,Longitudinal,ACC/CACC; car-following/string-stability analysis,single-lane mixed traffic,Stop-and-go waves / flow stability; capacity balance,string stability; traffic capacity; critical CACC penetration; equilibrium speed
M058,61,M. Ramezani 2019,2019,Lane density optimisation of automated vehicles for highway congestion control,Mohsen Ramezani and Eric Ye,Transportmetrica B: Transport Dynamics,https://doi.org/10.1080/21680566.2019.1568925,"Ramezani, M., & Ye, E. (2019). Lane density optimisation of automated vehicles for highway congestion control. Transportmetrica B: Transport Dynamics. https://doi.org/10.1080/21680566.2019.1568925",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Optimization/modeling + microsimulation,AV,Direct bottleneck/congestion mitigation,Tier 1,Lane-change timing/execution; Merge/yield/gap-acceptance decision,Optimal control; Rule-based/control law,Individual/onboard or not clearly specified,Lane assignment / lane-use control,on-ramp merge; freeway bottleneck; highway segment/corridor; network,AV; Penetration/controllable-share assumption,Simulation,Congestion onset; Capacity drop; Lane-changing friction / merging turbulence; Bottleneck activation/throughput,total travel time; travel time variation; lane density; ramp queue length; lane changes; throughput/capacity,Ramezani and Ye 2019 developed a two-level AV lane-changing control strategy with proactive lane density optimization upstream of merges and reactive merge-conflict avoidance near the bottleneck. Microsimulation showed reduced total travel time and travel time variation by delaying congestion onset and mitigating capacity drop with strong performance at moderate to high AV penetration but weaker performance when demand exceeded enhanced capacity.,Simulation-only evidence; AV and conventional vehicle car-following were parameterized similarly to isolate lateral-control effects; field validation and real mixed-traffic behavioral data were not available; performance declines at very high demand and may require integration with ramp metering.,Yes,No/unclear,Undermind #13,Undermind catalog,matched to uploaded coded matrix,,Lateral,Optimization/optimal control; Rule-based advisory,on-ramp merge; freeway bottleneck; highway segment/corridor; network,Congestion onset; Capacity drop; Lane-changing friction / merging turbulence; Bottleneck activation/throughput,total travel time; travel time variation; lane density; ramp queue length; lane changes; throughput/capacity
M059,62,Richards 1956,1956,Shock waves on the highway,Paul I. Richards,"Operations Research, 4(1), 42–51",https://doi.org/10.1287/opre.4.1.42,"Richards, P. I. (1956). Shock waves on the highway. Operations research, 4(1), 42-51.",Included as mechanism-supporting evidence,Bibliographic verification only; full text unavailable,Limited—no full-text recoding,Foundational traffic-flow theory,Not applicable,Foundational traffic-flow theory,Mechanism-supporting,Not applicable,Not applicable,Not applicable,Not applicable,Highway traffic,Not applicable,Analytical/theoretical,Shockwave/kinematic-wave traffic-flow mechanism,Not recoded without full text,Foundational LWR/shock-wave reference used for mechanism support; no new detailed coding was inferred without full text.,Full text unavailable for this corpus update.,Not applicable,Not applicable,,Manuscript reference + uploaded PDF/audit verification,bibliographically verified outside coded matrix — full text unavailable,DOI supplied in the updated audit. Full text was not supplied and is not publicly available according to the author note. Foundational LWR/shock-wave reference; no new application coding or Figure 2 marker support was inferred.,,,,,
M060,63,Rios-Torres and Malikopoulos 2017,2017,Automated and cooperative vehicle merging at highway on-ramps,"Rios-Torres, J.; Malikopoulos, A. A.",IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2016.2587582,"Rios-Torres, J., & Malikopoulos, A. A. (2017). Automated and cooperative vehicle merging at highway on-ramps. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2016.2587582",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling; simulation,CAV,Direct bottleneck/congestion mitigation,Tier 1,Merge/yield/gap-acceptance decision,Optimal control,Centralized; Cooperative V2V,Cooperative merging / coordinated gap creation / ramp coordination,on-ramp merge; merge/merging area; highway segment/corridor,CAV,Analytical/theoretical; Simulation,Bottleneck activation/throughput; Stop-and-go waves / flow stability,delay/travel time/queue; fuel consumption; collision avoidance,Rios-Torres and Malikopoulos 2017 studied centralized optimal coordination of CAVs at highway merging roadways using an analytical closed-form Hamiltonian control solution. The simulation showed collision-free merging without stop-and-go driving and reported fuel-consumption reductions of 52.7% and 48.1% plus travel-time reductions of 7.1% and 13.5% relative to a baseline yielding case.,Simulation-only study with simplified point-mass vehicle dynamics and an unconstrained optimal-control formulation for most cases. The high-speed case required an unrealistically long 1200 m control zone and the authors note future work is needed for active constraints richer traffic simulation vehicle diversity and trade-offs between fuel use and congestion.,Yes,No,Perplexity bibliography,Perplexity bibliography,matched to uploaded coded matrix,,Lateral/merging; Cooperative,Optimization/optimal control,on-ramp merge; merge/merging area; highway segment/corridor,Bottleneck activation/throughput; Stop-and-go waves / flow stability,delay/travel time/queue; fuel consumption; collision avoidance
M061,64,C. Roncoli 2019,2019,Integrated optimal traffic flow control enabled by speed and time-gap regulation,Claudio Roncoli,2019 IEEE Intelligent Transportation Systems Conference (ITSC),https://doi.org/10.1109/ITSC.2019.8917432,"Roncoli, C. (2019). Integrated optimal traffic flow control enabled by speed and time-gap regulation. 2019 IEEE Intelligent Transportation Systems Conference (ITSC). https://doi.org/10.1109/ITSC.2019.8917432",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical modeling and simulation,CAV; semi-automated vehicles,Direct bottleneck/congestion mitigation,Tier 1,Acceleration/deceleration; Desired speed; Desired time headway/spacing gap; Lane choice; Entry/access/release decision,Optimal control; Rule-based/control law,Centralized; Cooperative V2V; Infrastructure-assisted V2I/I2V,Routing / dynamic traffic assignment / managed-lane operation; Speed harmonization / dynamic headway / bottleneck-inflow regulation,macroscopic freeway network with source sink diverge and merge segments plus microscopic validation on circular road with on-ramp,CAV; semi-automated vehicles; Communication-reliability assumption,Analytical/theoretical; Simulation,Capacity drop; bottleneck activation; ramp queues; traffic efficiency loss,Total Time Spent; speed profiles; ramp queues; traffic efficiency,"Roncoli (2019) derived a macroscopic first-order traffic-flow model from ACC/CACC car-following behavior and formulated an integrated convex optimal control problem using CAV speed and desired time-gap regulation. In a seven-segment network with a merging bottleneck, conventional control reduced TTS by 12.1% while speed and time-gap regulation reduced TTS by 39.5% and prevented congestion, but the evidence is simulation-based and assumes centralized knowledge and controllable CAV speed/time-gap settings.",Simulation-only evidence; assumes a central decision maker with complete traffic-state knowledge and V2I capability; simplified first-order macroscopic model; numerical scenario is small; ongoing work noted for further microscopic validation.,Yes in microscopic validation,Yes in optimization framework,Undermind #117,Undermind catalog,matched to uploaded coded matrix,,Longitudinal; Route/network/lane-use,Convex optimal control; Speed/time-gap regulation; Ramp metering; Variable speed limits,macroscopic freeway network with source sink diverge and merge segments plus microscopic validation on circular road with on-ramp,Capacity drop; bottleneck activation; ramp queues; traffic efficiency loss,Total Time Spent; speed profiles; ramp queues; traffic efficiency
M062,65,C. Roncoli 2015,2015,Model Predictive Control for Motorway Traffic with Mixed Manual and VACS-equipped Vehicles☆,"C. Roncoli, I. Papamichail, and M. Papageorgiou",Transportation Research Procedia,https://doi.org/10.1016/j.trpro.2015.09.095,"Roncoli, C., Papamichail, I., & Papageorgiou, M. (2015). Model predictive control for motorway traffic with mixed manual and VACS-equipped vehicles. Transportation Research Procedia. https://doi.org/10.1016/j.trpro.2015.09.095",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling + microscopic simulation,ACC; VACS; V2I-equipped vehicles,Direct bottleneck/congestion mitigation,Tier 1,Desired speed; Desired time headway/spacing gap; Entry/access/release decision,MPC; Optimal control; Rule-based/control law,Infrastructure-assisted V2I/I2V,Speed harmonization / dynamic headway / bottleneck-inflow regulation,freeway bottleneck; on-ramp merge; freeway segment/corridor,ACC; VACS; V2I-equipped vehicles; Penetration/controllable-share assumption; Compliance assumption; Communication-reliability assumption,Analytical/theoretical; Simulation,Capacity drop; Bottleneck activation/throughput; Lane-changing friction / gaps; Queue formation/discharge,TTS; mean speed; throughput; ramp queue; lateral flow,"Roncoli et al. 2015 studied an MPC framework using VACS-equipped vehicles as sensors and actuators in a motorway on-ramp setting. The study found that integrated ramp metering, vehicle speed control, and lane-changing control reduced total time spent by about 6.0% to 21.7% across ACC headway and penetration scenarios, but the evidence was simulation-only with assumed V2I compliance and equipped-vehicle behavior.","Limited to microscopic simulation in a 5 km three-lane motorway with one on-ramp, assumed ACC and lane-change advisor implementation, and used calibrated behavioral assumptions rather than field validation.",Yes,No,Undermind #47,Undermind catalog,matched to uploaded coded matrix,,Longitudinal; Lateral,MPC; Optimization/optimal control; Ramp metering; VSL/speed control; Lane-changing control,freeway bottleneck; on-ramp merge; freeway segment/corridor,Capacity drop; Bottleneck activation/throughput; Lane-changing friction / gaps; Queue formation/discharge,TTS; mean speed; throughput; ramp queue; lateral flow
M063,66,Rossi 2018,2018,Routing autonomous vehicles in congested transportation networks: structural properties and coordination algorithms,Federico Rossi | Rick Zhang | Yousef Hindy | Marco Pavone,Autonomous Robots,https://doi.org/10.1007/s10514-018-9750-5,"Rossi, F., Zhang, R., Hindy, Y., & Pavone, M. (2018). Routing autonomous vehicles in congested transportation networks: structural properties and coordination algorithms. Autonomous Robots, 42(7), 1427-1442. https://doi.org/10.1007/s10514-018-9750-5",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,"Analytical
 modeling and simulation",AV,Network routing,Tier 2,Route choice,Optimal control,Individual/onboard or not clearly specified,Routing / dynamic traffic assignment / managed-lane operation,Urban road network | AMoD,AV,Analytical/theoretical; Simulation; Network/demand model,Network congestion distribution,travel time | wait time | link capacity | congestion avoidance,Rossi et al. 2018 modeled AMoD routing and rebalancing as flows on a capacitated road network. The study showed that properly coordinated rebalancing need not increase congestion in symmetric networks and that the proposed algorithm reduced excess congestion relative to point-to-point methods.,Uses simplified congestion constraints and does not explicitly model intersections spillback or bottleneck lane reductions in the core model.,No,Yes,Perplexity table P17 | Perplexity bibliography,Perplexity selected table | Perplexity bibliography,matched to uploaded coded matrix,,Route/network,Optimization/optimal control,Urban road network | AMoD,Network congestion distribution,travel time | wait time | link capacity | congestion avoidance
M064,67,Mingfeng Shang 2021,2021,Impacts of commercially available adaptive cruise control vehicles on highway stability and throughput,Mingfeng Shang and Raphael E. Stern,Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2020.102897,"Shang, M., & Stern, R. E. (2021). Impacts of commercially available adaptive cruise control vehicles on highway stability and throughput. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2020.102897",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling + simulation,ACC; AV,Negative or mixed effects,Tier 1,Acceleration/deceleration; Desired time headway/spacing gap,Other / not clearly specified,Individual/onboard or not clearly specified,Speed harmonization / dynamic headway / bottleneck-inflow regulation; Traffic smoothing / mobile-actuator control,highway segment/corridor; on-ramp merge,ACC; AV; Controller/driver heterogeneity,Analytical/theoretical; Simulation,String instability; bottleneck capacity loss; throughput reduction,String stability; bottleneck capacity; downstream throughput; market penetration rate; time gap,Shang and Stern 2021 modeled theoretical ACC and commercially available ACC in mixed highway traffic. The study found that theoretical ACC increased bottleneck capacity by up to 7% while commercially available ACC could reduce capacity by up to 35% due to string instability and larger time gaps.,Simulation used IDM parameters calibrated from selected ACC experiments and a hypothetical highway segment. Results depend on model calibration and may not represent all commercial ACC systems.,Yes,No,Undermind #22,Undermind catalog,matched to uploaded coded matrix,,Longitudinal,ACC car-following simulation; string stability analysis,highway segment/corridor; on-ramp merge,String instability; bottleneck capacity loss; throughput reduction,String stability; bottleneck capacity; downstream throughput; market penetration rate; time gap
