application,mechanism,marker,relationship_type,supporting_study_count,supporting_study_ids,supporting_citation_keys,finding_pattern,evidence_settings,facility_context,spatial_system_scale,common_design_methods,brief_rationale,direct_supporting_study_count,indirect_supporting_study_count,draft_basis,legacy_typical_facilities
Platooning,String instability,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Platooning,Congestion onset / breakdown,direct_repeated,direct,3,S017; S039; S064,Guo et al. 2022; T. T. Phan 2020; Zhu et al. 2024,broadly_consistent,analytical/theoretical; simulation,Basic freeway or motorway segment; Lane drop; On-ramp merge,Bottleneck / local facility,optimal control; other/unspecified,3 manuscript-linked coded studies directly associate the application with this mechanism; no explicit negative/mixed result was identified in the coded finding field.,3,0,Final manuscript-linked retained corpus and verified study-level coding,COR; FB; LD; RM; RR/SL
Platooning,Capacity drop,direct_repeated,direct,2,S039; S064,T. T. Phan 2020; Zhu et al. 2024,broadly_consistent,analytical/theoretical; simulation,Lane drop; On-ramp merge,Bottleneck / local facility,optimal control; other/unspecified,2 manuscript-linked coded studies directly associate the application with this mechanism; no explicit negative/mixed result was identified in the coded finding field.,2,0,Final manuscript-linked retained corpus and verified study-level coding,FB; LD; RM; RR/SL
Platooning,Queue formation / discharge,direct_limited_or_mixed,direct,1,S039,T. T. Phan 2020,limited,analytical/theoretical; simulation,Lane drop,Bottleneck / local facility,other/unspecified,One manuscript-linked coded study directly associates the application with this mechanism.,1,0,Final manuscript-linked retained corpus and verified study-level coding,FB; LD
Platooning,Lane-changing friction,direct_repeated,direct,2,S039; S064,T. T. Phan 2020; Zhu et al. 2024,broadly_consistent,analytical/theoretical; simulation,Lane drop; On-ramp merge,Bottleneck / local facility,optimal control; other/unspecified,2 manuscript-linked coded studies directly associate the application with this mechanism; no explicit negative/mixed result was identified in the coded finding field.,2,0,Final manuscript-linked retained corpus and verified study-level coding,FB; LD; RM; RR/SL
Platooning,Merging turbulence,direct_limited_or_mixed,direct,1,S017,Guo et al. 2022,limited,simulation,Basic freeway or motorway segment; On-ramp merge,Bottleneck / local facility,other/unspecified,One manuscript-linked coded study directly associates the application with this mechanism.,1,0,Final manuscript-linked retained corpus and verified study-level coding,COR; RM
Platooning,Physical spillback,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Platooning,Shifted / redistributed congestion,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Routing / dynamic traffic assignment / managed-lane operation,Stop-and-go waves,direct_limited_or_mixed,direct,1,S015,Ziyuan Gu 2022,mixed_or_conditional,analytical/theoretical; simulation,On-ramp merge; Ring-road / single-lane testbed,Network/system,other/unspecified,One manuscript-linked coded study directly associates the application with this mechanism.,1,0,Final manuscript-linked retained corpus and verified study-level coding,NET; RM
Routing / dynamic traffic assignment / managed-lane operation,String instability,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Routing / dynamic traffic assignment / managed-lane operation,Congestion onset / breakdown,direct_repeated,direct,2,S017; S043,Guo et al. 2022; C. Roncoli 2019,broadly_consistent,analytical/theoretical; simulation,Basic freeway or motorway segment; Diverge / off-ramp bottleneck; On-ramp merge; Ring-road / single-lane testbed,Bottleneck / local facility; Network/system,optimal control; other/unspecified,2 manuscript-linked coded studies directly associate the application with this mechanism; no explicit negative/mixed result was identified in the coded finding field.,2,0,Final manuscript-linked retained corpus and verified study-level coding,COR; NET; RM; RR/SL
Routing / dynamic traffic assignment / managed-lane operation,Capacity drop,direct_limited_or_mixed,direct,2,S015; S043,Ziyuan Gu 2022; C. Roncoli 2019,mixed_or_conditional,analytical/theoretical; simulation,Diverge / off-ramp bottleneck; On-ramp merge; Ring-road / single-lane testbed,Network/system,optimal control; other/unspecified,"2 manuscript-linked coded studies directly associate the application with this mechanism, but at least one reports negative/mixed or strongly conditional effects.",2,0,Final manuscript-linked retained corpus and verified study-level coding,NET; RM; RR/SL
Routing / dynamic traffic assignment / managed-lane operation,Queue formation / discharge,direct_limited_or_mixed,direct,1,S065,Chakraborty et al. 2021,mixed_or_conditional,network/demand model,Basic freeway or motorway segment,Network/system,optimal control,Chakraborty et al. (2021) directly models on-ramp/source queuing and travel-time effects under AV-exclusive lane design with endogenous demand; support remains limited to a network-model setting.,1,0,Final manuscript-linked retained corpus and verified study-level coding,FB; NET
Routing / dynamic traffic assignment / managed-lane operation,Lane-changing friction,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Routing / dynamic traffic assignment / managed-lane operation,Merging turbulence,direct_limited_or_mixed,direct,1,S017,Guo et al. 2022,limited,simulation,Basic freeway or motorway segment; On-ramp merge,Bottleneck / local facility,other/unspecified,One manuscript-linked coded study directly associates the application with this mechanism.,1,0,Final manuscript-linked retained corpus and verified study-level coding,COR; RM
Routing / dynamic traffic assignment / managed-lane operation,Physical spillback,indirect,indirect,2,S045; S065,Rossi 2018; Chakraborty et al. 2021,mixed_or_conditional,analytical/theoretical; network/demand model; simulation,Basic freeway or motorway segment; Not facility-specific,Network/system,optimal control,"No newly added study directly measures physical spillback. 2 studies, including Chakraborty et al. (2021), represent spatial queue propagation or finite-capacity network effects that can mediate spillback, so the relationship remains indirect.",0,2,Final manuscript-linked retained corpus and verified study-level coding,NET; FB
Routing / dynamic traffic assignment / managed-lane operation,Shifted / redistributed congestion,direct_limited_or_mixed,direct,5,S038; S062; S065; S067; S069,Perrine 2020; Zhao and Kockelman 2018; Chakraborty et al. 2021; Jiang et al. 2024; Ma and He 2024,mixed_or_conditional,simulation; network/demand model,Basic freeway or motorway segment; Not facility-specific,Network/system,other/unspecified; optimal control; RL/MARL; game-theoretic,"Five manuscript-linked studies directly associate routing, managed-lane, or network-allocation decisions with redistributed demand or congestion. New CAV routing studies add direct system-travel evidence, while conclusions remain conditional on network design, demand, and routing assumptions.",5,0,Final manuscript-linked retained corpus and verified study-level coding,NET; FB
Perimeter/corridor control / fleet rebalancing,Stop-and-go waves,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Perimeter/corridor control / fleet rebalancing,String instability,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Perimeter/corridor control / fleet rebalancing,Congestion onset / breakdown,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Perimeter/corridor control / fleet rebalancing,Capacity drop,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Perimeter/corridor control / fleet rebalancing,Queue formation / discharge,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Perimeter/corridor control / fleet rebalancing,Lane-changing friction,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Perimeter/corridor control / fleet rebalancing,Merging turbulence,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Perimeter/corridor control / fleet rebalancing,Physical spillback,no_substantive_relationship,none,0,,,not_applicable,,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,Final manuscript-linked retained corpus and verified study-level coding,
Perimeter/corridor control / fleet rebalancing,Shifted / redistributed congestion,direct_limited_or_mixed,direct,1,S062,Zhao and Kockelman 2018,mixed_or_conditional,network/demand model,Not facility-specific,Network/system,other/unspecified,One manuscript-linked coded study directly associates the application with this mechanism.,1,0,Final manuscript-linked retained corpus and verified study-level coding,NET
