study_id,corpus_id,manuscript_reference_number,citation_key,title,applications_assigned,direct_mechanisms,indirect_mechanism_mentions,finding_direction_flag,comparator_reference_condition,evidence_settings,facility_context,spatial_system_scale,design_methods,original_primary_theme,original_control_method_standardized,original_congestion_mechanism_standardized,legacy_facility_tags
S052,M074,78,Eugene Vinitsky 2023,Optimizing Mixed Autonomy Traffic Flow with Decentralized Autonomous Vehicles and Multi-Agent Reinforcement Learning,Speed harmonization / dynamic headway / bottleneck-inflow regulation,Capacity drop; Queue formation / discharge,Lane-changing friction,positive,Hand-designed and extensively tuned feedback controller,analytical/theoretical; simulation,Lane drop,Bottleneck / local facility,RL/MARL; rule-based/control law,Direct bottleneck/congestion mitigation,Multi-agent reinforcement learning; decentralized feedback control; mobile metering,Capacity drop; bottleneck throughput loss; queue formation; inflow regulation,FB
S053,M075,79,Eugene Vinitsky 2018,Lagrangian Control through Deep-RL: Applications to Bottleneck Decongestion,Speed harmonization / dynamic headway / bottleneck-inflow regulation,Capacity drop; Congestion onset / breakdown; Queue formation / discharge,,positive,Bottleneck without control; feedback ramp metering,simulation,Lane drop,Bottleneck / local facility,RL/MARL,Direct bottleneck/congestion mitigation,RL/MARL; Lagrangian control; Variable-speed control,Bottleneck activation/throughput; Capacity drop; Queueing/delay,FB
S054,M078,82,Wang et al. 2016,Connected variable speed limits control and car-following control with vehicle-infrastructure communication to resolve stop-and-go waves,Speed harmonization / dynamic headway / bottleneck-inflow regulation; Traffic smoothing / mobile-actuator control,Capacity drop; Congestion onset / breakdown; Stop-and-go waves,,neutral,Uncontrolled all-HDV traffic; VSL-controlled all-HDV traffic; uncontrolled mixed traffic at the same intelligent-vehicle penetration,analytical/theoretical; simulation,Basic freeway or motorway segment,Local road segment,MPC; rule-based/control law,Direct bottleneck/congestion mitigation,VSL/speed harmonization; MPC; Car-following control; V2I/infrastructure control,Stop-and-go waves / flow stability; Bottleneck activation/throughput; Capacity drop,FB
S055,M079,83,Shian Wang 2023,A general approach to smoothing nonlinear mixed traffic via control of autonomous vehicles,Speed harmonization / dynamic headway / bottleneck-inflow regulation; Traffic smoothing / mobile-actuator control,Congestion onset / breakdown; Stop-and-go waves; String instability,Lane-changing friction,neutral,Not clearly reported,analytical/theoretical; simulation,Ring-road / single-lane testbed,Vehicle string / platoon,rule-based/control law,Direct bottleneck/congestion mitigation,Feedback/control-theoretic; Nonlinear control; Car-following control,Stop-and-go waves / flow stability; String instability; Bottleneck activation/throughput,RR/SL
S056,M080,84,Shian Wang 2022,Optimal Control of Autonomous Vehicles for Traffic Smoothing,Traffic smoothing / mobile-actuator control,Stop-and-go waves; String instability,Lane-changing friction,neutral,Typical human-driver car-following model; linear-quadratic regulator,analytical/theoretical; simulation,Ring-road / single-lane testbed,Vehicle string / platoon,optimal control,Direct bottleneck/congestion mitigation,Optimization/optimal control; Pontryagin minimum principle; car-following/string-stability control,Stop-and-go waves / flow stability; string instability; speed perturbation amplification,RR/SL
S057,M082,88,Lin Xiao 2018,Unravelling effects of cooperative adaptive cruise control deactivation on traffic flow characteristics at merging bottlenecks,Speed harmonization / dynamic headway / bottleneck-inflow regulation,Capacity drop; Merging turbulence,Lane-changing friction,negative_or_mixed,0% CACC reference traffic; homogeneous pipeline section without the on-ramp at matched CACC penetration; theoretical capacity upper bound,analytical/theoretical; simulation,Basic freeway or motorway segment; On-ramp merge,Local road segment; Bottleneck / local facility,rule-based/control law,Direct bottleneck/congestion mitigation,ACC/CACC with authority transition logic; microscopic simulation,Capacity drop; bottleneck throughput loss; merging turbulence; flow heterogeneity,COR; FB; RM
S058,M083,89,Lin Xiao 2020,Traffic Flow Impacts of Converting an HOV Lane Into a Dedicated CACC Lane on a Freeway Corridor,Speed harmonization / dynamic headway / bottleneck-inflow regulation,Congestion onset / breakdown; Lane-changing friction,,negative_or_mixed,Existing HOV-lane corridor operation before conversion to a dedicated CACC lane,simulation,On-ramp merge; Weaving section,Corridor,rule-based/control law,Longitudinal control; lane management,ACC/CACC; microscopic simulation,Bottleneck activation/throughput; lane-changing friction; dedicated-lane underutilization,COR; FB
S059,M084,90,Longhao Yan 2025,Bi-Level Control of Weaving Sections in Mixed Traffic Environments With Connected and Automated Vehicles,Integrated longitudinal–lateral bottleneck control,Capacity drop; Congestion onset / breakdown; Lane-changing friction; Queue formation / discharge,,negative_or_mixed,HDM rule-based no-coordination controller (IDM/MOBIL); HLC-L; HLC-G; MPC-only; Bi-Level-L,simulation,Weaving section,Bottleneck / local facility,MPC; RL/MARL,Direct bottleneck/congestion mitigation,RL/MARL; MPC,Bottleneck activation/throughput; Capacity drop; Lane-changing friction / gaps; Queueing/delay,FB; WV
S060,M085,91,Yang 2018,Multi-scale perimeter control approach in a connected-vehicle environment,Perimeter/corridor control / fleet rebalancing; Routing / dynamic traffic assignment / managed-lane operation,,,neutral,PID perimeter control; bang-bang perimeter control; deterministic multiscale MPC (for the stochastic-controller comparison),analytical/theoretical; simulation,Urban intersection,Network/system,MPC; optimal control,Network/routing,MPC/optimal control; Perimeter control; Stochastic control,Network congestion distribution; Perimeter congestion control,NET
S061,M086,92,Yuanxiang Yang 2025,Macro-micro integration of game-theoretic trajectory planning and tactical lane control for mixed traffic control at motorway bottlenecks,Integrated longitudinal–lateral bottleneck control; Lane assignment / lane-use control,Capacity drop; Congestion onset / breakdown; Lane-changing friction; Queue formation / discharge,,positive,No control in the same mixed-traffic scenario; macroscopic lane controller with random CAV selection; alternative tactical lane-control parameterizations,analytical/theoretical; simulation,Lane drop; Diverge / off-ramp bottleneck,Bottleneck / local facility,game-theoretic; optimal control,Direct bottleneck/congestion mitigation,Game-theoretic control; Optimization/optimal control; Hierarchical macro-micro control,Bottleneck activation/throughput; Capacity drop; Lane-changing friction / gaps; Queue formation/discharge,FB; LD
S062,M088,94,Kockelman 2017,Anticipating the Regional Impacts of Connected and Automated Vehicle Travel in Austin Texas,Perimeter/corridor control / fleet rebalancing; Routing / dynamic traffic assignment / managed-lane operation,Shifted / redistributed congestion,,negative_or_mixed,Not clearly reported,network/demand model,Not facility-specific,Network/system,other/unspecified,Negative or mixed effects,Travel-demand modeling,Induced demand / VKT,NET
S063,M089,95,Zhou 2022,Multi-agent reinforcement learning for cooperative lane changing of connected and autonomous vehicles in mixed traffic,Integrated longitudinal–lateral bottleneck control,Lane-changing friction,Capacity drop; Queue formation / discharge,neutral,MADQN; MAACKTR; MAPPO; MA2C reward and parameter-sharing ablations,simulation,Basic freeway or motorway segment,Local road segment,RL/MARL,Lateral/lane-changing control,RL/MARL,Lane-changing friction / gaps,
S064,M091,97,Zhu et al. 2024,Improving Freeway Merging Efficiency via Flow-Level Coordination of Connected and Autonomous Vehicles,Cooperative merging / coordinated gap creation / ramp coordination; Platooning,Capacity drop; Congestion onset / breakdown; Lane-changing friction,Stop-and-go waves,positive,Same CAV traffic and demand without upper-level cooperative merging control,analytical/theoretical; simulation,On-ramp merge,Bottleneck / local facility,optimal control,Direct bottleneck/congestion mitigation,Optimization/control; proactive gap creation; platoon merging,Bottleneck activation/throughput; Capacity drop; Lane-changing friction / gaps; Traffic breakdown,FB; RM; RR/SL
S065,M009,9,Chakraborty et al. 2021,Freeway network design with exclusive lanes for automated vehicles under endogenous mobility demand,Routing / dynamic traffic assignment / managed-lane operation,Queue formation / discharge; Shifted / redistributed congestion,Physical spillback,negative_or_mixed,Freeway network with no AV-exclusive lanes,network/demand model,Basic freeway or motorway segment,Network/system,optimal control,Direct network/system congestion mitigation (manual coding from uploaded full-text PDF),Optimization/optimal control; system-optimum dynamic traffic assignment; AV-exclusive lane design,Queue formation/discharge; shifted/redistributed congestion; spatial queue propagation represented indirectly,FB; NET
S066,M035,36,Kesting et al. 2010,Enhanced intelligent driver model to access the impact of driving strategies on traffic capacity,Speed harmonization / dynamic headway / bottleneck-inflow regulation,Congestion onset / breakdown; Capacity drop; Queue formation / discharge,,positive,0% ACC / unequipped traffic; original IDM (vehicle-level cut-in response comparison),simulation,On-ramp merge,Bottleneck / local facility,rule-based/control law,Direct bottleneck/congestion mitigation (manual coding from uploaded full-text PDF),Traffic-adaptive ACC control law; dynamic desired-time-gap and acceleration adaptation,Congestion onset/breakdown; capacity drop; queue discharge/dynamic capacity,FB; RM
S067,M092,33,Jiang et al. 2024,Evaluation of Connected and Autonomous Vehicles for Congestion Mitigation: An Approach Based on the Congestion Patterns of Road Networks,Routing / dynamic traffic assignment / managed-lane operation,Shifted / redistributed congestion,,positive,Full-HDV traffic (for the reported all-CAV delay and travel-time comparison),simulation; network/demand model,Not facility-specific,Network/system,other/unspecified,Network-level routing / congestion mitigation,Congestion-pattern-based centralized routing,Shifted/redistributed congestion; network congestion,NET
S068,M093,37,Kim et al. 2023,Lane-changing control with balancing lane flow at freeway merge bottlenecks in a connected vehicle environment: Application of a PID controller,Lane assignment / lane-use control,Congestion onset / breakdown; Capacity drop; Queue formation / discharge; Lane-changing friction,Merging turbulence,positive,No control; non-feedback lane-changing control,simulation,On-ramp merge,Bottleneck / local facility,rule-based/control law,Direct bottleneck/congestion mitigation,PID feedback lane-changing control,Capacity drop; congestion onset; queue/discharge; lane-changing friction,FB; RM
S069,M094,48,Ma and He 2024,Providing real-time en-route suggestions to CAVs for congestion mitigation: A two-way deep reinforcement learning approach,Routing / dynamic traffic assignment / managed-lane operation,Shifted / redistributed congestion,,positive,Not clearly reported,analytical/theoretical; simulation; network/demand model,Not facility-specific,Network/system,RL/MARL; game-theoretic,Network-level routing / congestion mitigation,Two-way deep RL; correlated-equilibrium routing,Route loading / shifted or redistributed congestion,NET
S070,M095,73,Tajdari et al. 2022,Feedback-Based Ramp Metering and Lane-Changing Control With Connected and Automated Vehicles,Integrated longitudinal–lateral bottleneck control,Capacity drop; Queue formation / discharge; Lane-changing friction,Congestion onset / breakdown; Merging turbulence,positive,No-control case; conventional ALINEA ramp metering,analytical/theoretical; simulation,On-ramp merge,Bottleneck / local facility,optimal control; rule-based/control law,Direct bottleneck/congestion mitigation,LQI/LQR feedback; ramp metering; lane-changing control; extremum seeking,Capacity drop; bottleneck throughput; queueing; lane-changing friction,FB; RM; COR
S071,M096,87,Daiquan Xiao 2022,Reinforcement learning based mainline dynamic speed limit adjustment of expressway off-ramp upstream under connected and autonomous vehicles environment,Speed harmonization / dynamic headway / bottleneck-inflow regulation,Queue formation / discharge; Physical spillback,Congestion onset / breakdown,positive,No control (Scheme 0); rule-based upstream mainline VSL (Scheme 1),simulation,Diverge / off-ramp bottleneck,Bottleneck / local facility,RL/MARL; rule-based/control law,Direct bottleneck/congestion mitigation,Q-learning VSL; rule-based VSL comparator,Off-ramp queueing; physical spillback to mainline,FB; COR
